Z,Elemento,Simbolo,Massa Atômica,Densidade,PontoFusaoK,PontoEbulicaoK,Período,Grupo,Bloco,EstadoFisico,Raio Atômico (A),Eletronegatividade,NumIsotoposEstaveis,Energia_Ionização (eV)
92,Urânio,U,238.029,19.1,1408,4404,7,Actinídeos,f,Sólido,2.41,1.70,0,6.194
93,Netúnio,Np,237,20.2,917,4175,7,Actinídeos,f,Sólido,2.39,1.30,0,6.266
94,Plutônio,Pu,244,19.7,913,3501,7,Actinídeos,f,Sólido,2.43,1.30,0,6.060
95,Amerício,Am,243,12,1449,2284,7,Actinídeos,f,Sólido,2.44,1.30,0,5.993
96,Cúrio,Cm,247,13.51,1618,3400,7,Actinídeos,f,Sólido,2.45,1.30,0,6.020
97,Berquélio,Bk,247,14.78,1259,2900,7,Actinídeos,f,Sólido,2.44,1.30,0,6.230
98,Califórnio,Cf,251,15.1,1173,1743,7,Actinídeos,f,Sólido,2.45,1.30,0,6.300
99,Einsteínio,Es,252,8.84,1133,1269,7,Actinídeos,f,Sólido,2.45,1.30,0,6.420
100,Férmio,Fm,257,9.7,1800,,7,Actinídeos,f,Sólido,2.45,1.30,0,6.500
101,Mendelévio,Md,258,10.3,1100,,7,Actinídeos,f,Sólido,2.46,1.30,0,6.580
102,Nobélio,No,259,9.9,1100,,7,Actinídeos,f,Sólido,2.46,1.30,0,6.650
103,Laurêncio,Lr,262,14.4,1900,,7,Actinídeos,f,Sólido,2.46,1.30,0,
104,Ruterfórdio,Rf,267,17,2400,5800,7,4,d,Sólido,1.50,,0,
105,Dúbnio,Db,268,21.6,,,7,5,d,Sólido,1.39,,0,
106,Seabórgio,Sg,269,23,,,7,6,d,Sólido,1.32,,0,
107,Bóhrio,Bh,270,26,,,7,7,d,Sólido,1.28,,0,
108,Hássio,Hs,269,28,,,7,8,d,Sólido,1.26,,0,
109,Meitnério,Mt,278,27,,,7,9,d,Sólido,1.28,,0,
110,Darmstádio,Ds,281,26,,,7,10,d,Sólido,1.28,,0,
111,Roentgênio,Rg,280,23,,,7,11,d,Sólido,1.38,,0,
112,Copernício,Cn,285,14,283,340,7,12,d,Sólido,147,,0,
113,Nihônio,Nh,286,16,700,1430,7,13,p,Sólido,170,,0,
114,Fleróvio,Fl,289,9.928,200,380,7,14,p,Sólido,180,,0,
115,Moscóvio,Mc,289,13.5,670,1400,7,15,p,Sólido,187,,0,
116,Livermório,Lv,293,12.9,637,1035,7,16,p,Sólido,183,,0,
117,Tenessine,Ts,294,7.1,623,883,7,17,p,Sólido,138,,0,
118,Oganessônio,Og,294,6.6,325,450,7,18,p,Sólido,,,0,
